
2024/12/08 (18:21:45) | ===> btop++ v.1.4.0
2024/12/08 (18:21:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (09:59:03) | ===> btop++ v.1.4.0
2024/12/10 (09:59:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (18:28:10) | ===> btop++ v.1.4.0
2024/12/10 (18:28:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (11:49:21) | ===> btop++ v.1.4.0
2024/12/12 (11:49:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (14:29:17) | ===> btop++ v.1.4.0
2024/12/12 (14:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (15:29:20) | ===> btop++ v.1.4.0
2024/12/14 (15:29:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (13:47:22) | ===> btop++ v.1.4.0
2024/12/15 (13:47:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (12:21:56) | ===> btop++ v.1.4.0
2024/12/16 (12:21:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (16:38:06) | ===> btop++ v.1.4.0
2024/12/19 (16:38:06) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (10:29:46) | ===> btop++ v.1.4.0
2024/12/20 (10:29:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (10:35:10) | ===> btop++ v.1.4.0
2024/12/20 (10:35:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (09:59:42) | ===> btop++ v.1.4.0
2024/12/22 (09:59:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (10:09:25) | ===> btop++ v.1.4.0
2024/12/22 (10:09:25) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (10:11:35) | ===> btop++ v.1.4.0
2024/12/22 (10:11:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (10:12:12) | ===> btop++ v.1.4.0
2024/12/22 (10:12:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (11:01:39) | ===> btop++ v.1.4.0
2024/12/23 (11:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (17:56:15) | ===> btop++ v.1.4.0
2024/12/25 (17:56:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (18:58:09) | ===> btop++ v.1.4.0
2024/12/25 (18:58:09) | WARNING: Intel GPU: Failed to initialize PMU
